Article Title,Article Date,Entity,Sentiment Polarity Score (VADER),Sentiment Polarity (VADER),Sentiment Polarity (Naive Bayes with Article Corpus),Sentiment Polarity (Naive Bayes with Movie Reviews),Category,Countries Affected
US GDP lifts but storms set to slow growth,"September 29, 2017",US,10.5564,Positive,Negative,Positive,Politics & the Economy,Australia
Fisher &amp; Paykel win in German court,"September 29, 2017",Fisher,-1.1292,Negative,Negative,Positive,Retail,Germany
Fisher &amp; Paykel win in German court,"September 29, 2017",Paykel,-1.1292,Negative,Negative,Positive,Retail,Germany
Fisher &amp; Paykel win in German court,"September 29, 2017",German,-1.1292,Negative,Negative,Positive,Retail,Germany
"Copper, zinc gain on Chinese growth hopes","September 29, 2017",Copper,0.9332,Positive,Negative,Positive,Agribusiness,China
"Copper, zinc gain on Chinese growth hopes","September 29, 2017",Chinese,0.9332,Positive,Negative,Positive,Agribusiness,China
Gold rebounds from 6-week low as $US drops,"September 29, 2017",Gold,7.8688,Positive,Negative,Positive,Politics & the Economy,"Iraq,Jersey"
Gold rebounds from 6-week low as $US drops,"September 29, 2017",US,7.8688,Positive,Negative,Positive,Politics & the Economy,"Iraq,Jersey"
"Oil slips 1%, extends fall from 2015 peaks","September 29, 2017",Oil,-4.8768,Negative,Negative,Positive,Politics & the Economy,"Iraq,Turkey,United States"
Toys R Us struggles with bankruptcy,"September 29, 2017",Toys,-4.528,Negative,Negative,Positive,Agribusiness,Canada
Kellogg chooses vitamin exec as next CEO,"September 29, 2017",Kellogg,3.4888,Positive,Negative,Positive,Retail,America
Trump tax plan sends $US higher,"September 28, 2017",Trump,4.6212,Positive,Negative,Positive,Politics & the Economy,"Canada,Japan"
Millionaires' wealth hit $A81.2t in 2016,"September 28, 2017",Millionaires,10.7024,Positive,Negative,Positive,Politics & the Economy,"America,Brazil,Canada,China,France,Germany,Japan,Russia,Singapore,Sweden,United States"
"NZ shares flat as A2, Synlait hit records","September 28, 2017",A2,16.6028,Positive,Negative,Positive,Politics & the Economy,"Australia,China,New Zealand"
"NZ shares flat as A2, Synlait hit records","September 28, 2017",Synlait,16.6028,Positive,Negative,Positive,Politics & the Economy,"Australia,China,New Zealand"
Rise in vacancies points to job growth,"September 28, 2017",Rise,3.5216,Positive,Negative,Positive,Politics & the Economy,Australia
Beach Energy buys Origin assets for $1.6b,"September 28, 2017",Beach Energy,13.6168,Positive,Negative,Positive,Agribusiness,"Australia,New Zealand"
Beach Energy buys Origin assets for $1.6b,"September 28, 2017",Origin,13.6168,Positive,Negative,Positive,Agribusiness,"Australia,New Zealand"
Gig economy jobs raise retirement concerns,"September 28, 2017",Gig,1.6888,Positive,Negative,Positive,Politics & the Economy,Australia
Tech giants may surf next wave of wealth,"September 28, 2017",Tech,20.7616,Positive,Negative,Positive,Financial Services,Australia
Will private money help China's SOEs?,"September 28, 2017",China,32.9932,Positive,Negative,Positive,Financial Services,China
Will private money help China's SOEs?,"September 28, 2017",SOEs,32.9932,Positive,Negative,Positive,Financial Services,China
US capital goods data underscores strength,"September 28, 2017",US,2.8168,Positive,Negative,Positive,Politics & the Economy,America
Piedmont confirms 4km mineralisation,"September 28, 2017",Piedmont,0.0,Neutral,Neutral,Negative,Special Reports,Australia
JustKapital secures new finance facility,"September 28, 2017",JustKapital,1.686,Positive,Negative,Positive,Philanthropy & Charity,Australia
Xref adds to integrations portfolio,"September 28, 2017",Xref,3.624,Positive,Negative,Positive,Food & Wine,Australia
Calidus raises $10m,"September 28, 2017",Calidus,2.9404,Positive,Neutral,Positive,Deals,Australia
Buxton finds Ni-Cu at Double Magic,"September 28, 2017",Buxton,0.9524,Positive,Negative,Negative,Philanthropy & Charity,Australia
Kiwi sole riser on USD strength,"September 28, 2017",Kiwi,4.56,Positive,Negative,Positive,Politics & the Economy,"Australia,New Zealand"
Kiwi sole riser on USD strength,"September 28, 2017",USD,4.56,Positive,Negative,Positive,Politics & the Economy,"Australia,New Zealand"
Hackers accessed authentic SEC data,"September 27, 2017",SEC,-7.7552,Negative,Negative,Positive,Financial Services,"Jersey,Ukraine,United States"
AGL pushes ahead with Liddell exit plans,"September 27, 2017",Liddell,9.3532,Positive,Negative,Positive,Agribusiness,Australia
